#{"t_start": 1719551295.0682716, "env_id": "None"}
r,l,t
-210624.03713,102,9.60754
-5787.65596,10,9.922908
-3729.41577,9,10.221742
-2493.367173,7,10.567265
-2566.005738,6,10.866074
-1311.527878,5,11.071361
-3946.379555,7,11.339348
-2689.87773,8,11.6395
-3007.77167,6,11.860504
-3533.694226,8,12.191861
-2356.263084,7,12.443-190071.882983,102,14.830715
-3005.715529,6,15.135879
-3062.043955,3,15.287747
-1202.659345,2,15.559502
-1504.642922,3,15.812766
-1568.869814,3,15.975492
-1649.520008,3,16.17806
-1433.290438,3,16.319902
-2237.950473,2,16.445529
-197053.888749,102,20.294153
-2025.577656,3,20.436627
-1501.272606,3,20.625593
-1521.83977,3,20.767217
-1466.802815,3,20.987787
-4321.815827,4,21.176512
-1119.694683,1,21.271096
-1574.195225,3,21.459711
-1407.937526,3,21.60082
-2760.259157,5,21.858552
-1584.586916,3,22.073863
-2754.268169,5,22.246519
-949.628556,1,22.362303
-183046.24959,102,26.645244
-1635.015882,2,26.765351
-2109.062551,2,26.947048
-191611.901189,102,30.802031
-192307.123496,102,34.374798
-2266.62786,3,34.515179
-36920.51132,102,38.101866
-2787.31608,3,38.313692
-28260.532042,102,42.221284
-844.579465,2,42.321148
-3806.91481,6,42.631737
-1485.949644,3,42.782808
-1082.79699,2,42.963788
-1483.952264,2,43.064132
-170338.999453,102,47.082829
-1201.384318,2,47.264239
-51732.368446,102,50.785504
-2583.868229,3,50.967111
38.975007,6,24.998286
-3661.454924,7,25.28997
-3672.024401,7,25.591839
-3625.936823,7,25.884337
-3686.834959,7,26.155701
-3147.003994,6,26.396604
-3615.827448,7,26.768802
-3263.696622,6,27.060956
-3711.21277,7,27.353851
-5781.104655,7,27.586793
-4556.485968,8,27.869781
-4658.347608,7,28.14107
-3959.581615,7,28.41152
-3847.087344,6,28.641486
-3427.317534,7,28.912656
-4044.004434,7,29.175207
-8861.247577,8,29.45666
-4418.836784,6,29.678735
-6680.079579,7,29.950506
-6009.371003,6,30.181427
-3466.805023,7,30.442554
-3782.961556,7,30.70454
-3424.733663,7,30.966357
-5833.793587,6,31.18807
-3671.690768,7,31.458908
-3228.164429,6,31.709414
-4202.595388,7,31.971994
-3645.052581,7,32.214588
-4139.320366,7,32.475726
-5156.028452,7,32.745953
-5895.330042,6,32.956074
-71457.196611,102,36.16169
-120.705715,1,36.252048
-6223.686737,6,36.505163
-2846.680589,5,36.705197
-3679.410293,7,36.972248
-3682.428342,7,37.240583
-3693.708486,7,37.509275
-3658.451496,7,37.802124
-3622.690841,7,38.145416
-4531.824974,8,38.488504
-5758.019608,7,38.770135
-3176.919789,7,39.033092
-4172.047544,7,39.285998
-4266.640639,7,39.558659
-4682.890288,6,39.799582
-3574.319152,7,40.04218
-4695.072809,6,40.283655
-3740.803474,7,40.566672
-3688.030563,7,40.833344
-5239.273359,7,41.083569
-4724.245532,6,41.304945
-3352.252798,7,41.558383
-3515.246132,7,41.819733
-6873.678268,6,42.051124
-3699.261928,7,42.4138
-5166.51226,6,42.785446
-3524.861775,7,43.137411
-6217.696604,7,43.409096
-5439.349226,5,43.609809
-3070.530467,7,43.882301
-6467.94829,7,44.165487
-1634.992849,5,44.385704
-4704.514762,7,44.669793
-4704.868983,7,44.93343
-3513.9809,7,45.224776
-5148.065013,6,45.455349
-3626.292235,7,45.726968
-3463.187361,7,45.979122
-5520.631783,6,46.230523
-3231.120731,7,46.491984
-3398.137354,7,46.753476
-3725.073187,7,47.085862
-4194.969538,7,47.417792
-4219.068728,7,47.669837
-3474.633954,7,47.922823
-4033.871709,7,48.187256
-3779.38552,7,48.459672
-5331.036919,7,48.733618
-3729.049594,7,48.966499
-4039.154096,6,49.158606
-4199.1995,7,49.390018
-3689.285677,7,49.631113
-3511.862789,7,49.853861
-3609.955989,7,50.064986
-4211.460551,7,50.276037
-3380.480675,7,50.496701
-4681.751737,7,50.789131
-6854.264197,7,51.040262
-1622.011788,6,51.240164
-4513.551329,6,51.452637
-3483.94046,7,51.714743
-3295.003506,7,51.946352
-3293.488191,7,52.17762
-5030.634228,7,52.389624
-3379.930816,7,52.6308
-3425.308032,7,52.861759
-4582.43494,6,53.052918
